Id,Ten,Loai,ThuongHieu,Gia,SoLuong,Hinh,MoTa,NoiBat,NgayTao
81,Bình nước Joma Street Pro Cam,Phu kien,Joma,"250,000",68,https://images.unsplash.com/photo-1542291026-7eec264c27ff?q=80&w=1200&auto=format&fit=crop,"Bình nước Joma Street Pro Cam thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
82,Giày pickleball Asics Ultra Light Xanh royal,Giay,Asics,"1,550,000",179,https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?q=80&w=1200&auto=format&fit=crop,"Giày pickleball Asics Ultra Light Xanh royal thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
83,Tất thể thao Asics Dynamic Core Xám,Phu kien,Asics,"830,000",156,https://images.unsplash.com/photo-1556906781-9a412961c28c?q=80&w=1200&auto=format&fit=crop,"Tất thể thao Asics Dynamic Core Xám thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
84,Áo chạy bộ Sao Vang Dynamic Core Đỏ,Ao,Sao Vang,"1,100,000",13,https://images.unsplash.com/photo-1523398002811-999ca8dec234?q=80&w=1200&auto=format&fit=crop,"Áo chạy bộ Sao Vang Dynamic Core Đỏ thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
85,Giày cầu lông Under Armour Prime Edge Xanh royal,Giay,Under Armour,"1,300,000",61,https://images.unsplash.com/photo-1546519638-68e109498ffc?q=80&w=1200&auto=format&fit=crop,"Giày cầu lông Under Armour Prime Edge Xanh royal thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
86,Vợt cầu lông Joma Active Plus Xám,Vot,Joma,"550,000",122,https://images.unsplash.com/photo-1579952363873-27f3bade9f55?q=80&w=1200&auto=format&fit=crop,"Vợt cầu lông Joma Active Plus Xám thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
87,Quần legging Mizuno Active Plus Trắng,Quan,Mizuno,"1,340,000",129,https://images.unsplash.com/photo-1599058917212-d750089bc07e?q=80&w=1200&auto=format&fit=crop,"Quần legging Mizuno Active Plus Trắng thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
88,Vợt cầu lông Adidas Carbon Speed Cam,Vot,Adidas,"750,000",71,https://images.unsplash.com/photo-1560769629-975ec94e6a86?q=80&w=1200&auto=format&fit=crop,"Vợt cầu lông Adidas Carbon Speed Cam thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
89,Bóng futsal Mizuno Power Max Đen,Bong,Mizuno,"960,000",14,https://images.unsplash.com/photo-1542291026-7eec264c27ff?q=80&w=1200&auto=format&fit=crop,"Bóng futsal Mizuno Power Max Đen thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
90,Áo chạy bộ Mizuno Rapid Force Bạc,Ao,Mizuno,"600,000",80,https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?q=80&w=1200&auto=format&fit=crop,"Áo chạy bộ Mizuno Rapid Force Bạc thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
91,Quần bóng đá Under Armour Storm Fit Cam,Quan,Under Armour,"620,000",52,https://images.unsplash.com/photo-1556906781-9a412961c28c?q=80&w=1200&auto=format&fit=crop,"Quần bóng đá Under Armour Storm Fit Cam thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
92,Áo khoác thể thao Mizuno Flex Run Xám,Ao,Mizuno,"640,000",161,https://images.unsplash.com/photo-1523398002811-999ca8dec234?q=80&w=1200&auto=format&fit=crop,"Áo khoác thể thao Mizuno Flex Run Xám thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
93,Áo thun thể thao New Balance Air Pro Vàng,Ao,New Balance,"720,000",159,https://images.unsplash.com/photo-1546519638-68e109498ffc?q=80&w=1200&auto=format&fit=crop,"Áo thun thể thao New Balance Air Pro Vàng thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
94,Bóng đá Nike Air Pro Xanh royal,Bong,Nike,"920,000",59,https://images.unsplash.com/photo-1579952363873-27f3bade9f55?q=80&w=1200&auto=format&fit=crop,"Bóng đá Nike Air Pro Xanh royal thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
95,Quần legging Sao Vang Carbon Speed Xanh royal,Quan,Sao Vang,"260,000",86,https://images.unsplash.com/photo-1599058917212-d750089bc07e?q=80&w=1200&auto=format&fit=crop,"Quần legging Sao Vang Carbon Speed Xanh royal thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
96,Vợt cầu lông Puma Flex Run Xanh navy,Vot,Puma,"1,400,000",144,https://images.unsplash.com/photo-1560769629-975ec94e6a86?q=80&w=1200&auto=format&fit=crop,"Vợt cầu lông Puma Flex Run Xanh navy thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
97,Áo khoác thể thao STRIDEX Flex Run Vàng,Ao,STRIDEX,"740,000",40,https://images.unsplash.com/photo-1542291026-7eec264c27ff?q=80&w=1200&auto=format&fit=crop,"Áo khoác thể thao STRIDEX Flex Run Vàng thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
98,Quần short thể thao Puma Flex Run Xanh royal,Quan,Puma,"640,000",110,https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?q=80&w=1200&auto=format&fit=crop,"Quần short thể thao Puma Flex Run Xanh royal thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
99,Túi đựng giày Under Armour Air Pro Cam,Phu kien,Under Armour,"800,000",94,https://images.unsplash.com/photo-1556906781-9a412961c28c?q=80&w=1200&auto=format&fit=crop,"Túi đựng giày Under Armour Air Pro Cam thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",TRUE,2026-05-31
100,Vợt tennis New Balance Ultra Light Đỏ,Vot,New Balance,"2,500,000",154,https://images.unsplash.com/photo-1523398002811-999ca8dec234?q=80&w=1200&auto=format&fit=crop,"Vợt tennis New Balance Ultra Light Đỏ thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
101,Quần tập gym Asics Velocity X Đen,Quan,Asics,"1,020,000",114,https://images.unsplash.com/photo-1546519638-68e109498ffc?q=80&w=1200&auto=format&fit=crop,"Quần tập gym Asics Velocity X Đen thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
102,Vợt cầu lông Under Armour Street Pro Bạc,Vot,Under Armour,"1,300,000",105,https://images.unsplash.com/photo-1579952363873-27f3bade9f55?q=80&w=1200&auto=format&fit=crop,"Vợt cầu lông Under Armour Street Pro Bạc thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
103,Áo thun thể thao Joma Dynamic Core Xanh navy,Ao,Joma,"880,000",162,https://images.unsplash.com/photo-1599058917212-d750089bc07e?q=80&w=1200&auto=format&fit=crop,"Áo thun thể thao Joma Dynamic Core Xanh navy thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
104,Áo bóng đá Joma Energy Wave Xanh royal,Ao,Joma,"940,000",55,https://images.unsplash.com/photo-1560769629-975ec94e6a86?q=80&w=1200&auto=format&fit=crop,"Áo bóng đá Joma Energy Wave Xanh royal thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
105,Túi đựng giày Mizuno Rapid Force Đen,Phu kien,Mizuno,"760,000",164,https://images.unsplash.com/photo-1542291026-7eec264c27ff?q=80&w=1200&auto=format&fit=crop,"Túi đựng giày Mizuno Rapid Force Đen thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
106,Vợt tennis Nike Ultra Light Xám,Vot,Nike,"2,550,000",87,https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?q=80&w=1200&auto=format&fit=crop,"Vợt tennis Nike Ultra Light Xám thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
107,Vợt cầu lông Yonex Velocity X Đỏ hồng,Vot,Yonex,"3,050,000",51,https://images.unsplash.com/photo-1556906781-9a412961c28c?q=80&w=1200&auto=format&fit=crop,"Vợt cầu lông Yonex Velocity X Đỏ hồng thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
108,Giày cầu lông Adidas Storm Fit Bạc,Giay,Adidas,"1,950,000",121,https://images.unsplash.com/photo-1523398002811-999ca8dec234?q=80&w=1200&auto=format&fit=crop,"Giày cầu lông Adidas Storm Fit Bạc thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
109,Quần legging Puma Active Plus Xám,Quan,Puma,"1,220,000",132,https://images.unsplash.com/photo-1546519638-68e109498ffc?q=80&w=1200&auto=format&fit=crop,"Quần legging Puma Active Plus Xám thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",TRUE,2026-05-31
110,Giày bóng rổ Joma Flex Run Vàng,Giay,Joma,"4,150,000",12,https://images.unsplash.com/photo-1579952363873-27f3bade9f55?q=80&w=1200&auto=format&fit=crop,"Giày bóng rổ Joma Flex Run Vàng thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
111,Bóng rổ Lining Carbon Speed Xanh royal,Bong,Lining,"1,440,000",89,https://images.unsplash.com/photo-1599058917212-d750089bc07e?q=80&w=1200&auto=format&fit=crop,"Bóng rổ Lining Carbon Speed Xanh royal thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
112,Găng tay tập gym STRIDEX Aero Boost Đỏ hồng,Phu kien,STRIDEX,"240,000",174,https://images.unsplash.com/photo-1560769629-975ec94e6a86?q=80&w=1200&auto=format&fit=crop,"Găng tay tập gym STRIDEX Aero Boost Đỏ hồng thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",TRUE,2026-05-31
113,Vợt cầu lông Puma Flex Run Đỏ hồng,Vot,Puma,"1,000,000",63,https://images.unsplash.com/photo-1542291026-7eec264c27ff?q=80&w=1200&auto=format&fit=crop,"Vợt cầu lông Puma Flex Run Đỏ hồng thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
114,Bóng đá Asics Energy Wave Xanh royal,Bong,Asics,"420,000",53,https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?q=80&w=1200&auto=format&fit=crop,"Bóng đá Asics Energy Wave Xanh royal thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
115,Túi đựng giày Mizuno Aero Boost Xám,Phu kien,Mizuno,"720,000",54,https://images.unsplash.com/photo-1556906781-9a412961c28c?q=80&w=1200&auto=format&fit=crop,"Túi đựng giày Mizuno Aero Boost Xám thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
116,Áo bóng đá New Balance Air Pro Xanh navy,Ao,New Balance,"860,000",159,https://images.unsplash.com/photo-1523398002811-999ca8dec234?q=80&w=1200&auto=format&fit=crop,"Áo bóng đá New Balance Air Pro Xanh navy thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
117,Quần bóng đá Nike Elite Move Xanh royal,Quan,Nike,"300,000",123,https://images.unsplash.com/photo-1546519638-68e109498ffc?q=80&w=1200&auto=format&fit=crop,"Quần bóng đá Nike Elite Move Xanh royal thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",TRUE,2026-05-31
118,Vợt pickleball New Balance Dynamic Core Đỏ hồng,Vot,New Balance,"1,450,000",112,https://images.unsplash.com/photo-1579952363873-27f3bade9f55?q=80&w=1200&auto=format&fit=crop,"Vợt pickleball New Balance Dynamic Core Đỏ hồng thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
119,Giày pickleball Yonex Rapid Force Xám,Giay,Yonex,"3,450,000",143,https://images.unsplash.com/photo-1599058917212-d750089bc07e?q=80&w=1200&auto=format&fit=crop,"Giày pickleball Yonex Rapid Force Xám thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
120,Quần legging Lining Velocity X Cam,Quan,Lining,"820,000",111,https://images.unsplash.com/photo-1560769629-975ec94e6a86?q=80&w=1200&auto=format&fit=crop,"Quần legging Lining Velocity X Cam thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
121,Áo khoác thể thao Under Armour Dynamic Core Xám,Ao,Under Armour,"560,000",97,https://images.unsplash.com/photo-1542291026-7eec264c27ff?q=80&w=1200&auto=format&fit=crop,"Áo khoác thể thao Under Armour Dynamic Core Xám thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
122,Giày bóng đá New Balance Prime Edge Vàng,Giay,New Balance,"1,900,000",82,https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?q=80&w=1200&auto=format&fit=crop,"Giày bóng đá New Balance Prime Edge Vàng thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",TRUE,2026-05-31
123,Vợt tennis Puma Flex Run Đỏ hồng,Vot,Puma,"2,450,000",98,https://images.unsplash.com/photo-1556906781-9a412961c28c?q=80&w=1200&auto=format&fit=crop,"Vợt tennis Puma Flex Run Đỏ hồng thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
124,Vợt cầu lông New Balance Elite Move Đen,Vot,New Balance,"550,000",113,https://images.unsplash.com/photo-1523398002811-999ca8dec234?q=80&w=1200&auto=format&fit=crop,"Vợt cầu lông New Balance Elite Move Đen thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
125,Vợt cầu lông Joma Energy Wave Bạc,Vot,Joma,"1,650,000",35,https://images.unsplash.com/photo-1546519638-68e109498ffc?q=80&w=1200&auto=format&fit=crop,"Vợt cầu lông Joma Energy Wave Bạc thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
126,Quần bóng đá Under Armour Rapid Force Đỏ hồng,Quan,Under Armour,"720,000",141,https://images.unsplash.com/photo-1579952363873-27f3bade9f55?q=80&w=1200&auto=format&fit=crop,"Quần bóng đá Under Armour Rapid Force Đỏ hồng thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
127,Vợt cầu lông Sao Vang Active Plus Xanh navy,Vot,Sao Vang,"1,250,000",167,https://images.unsplash.com/photo-1599058917212-d750089bc07e?q=80&w=1200&auto=format&fit=crop,"Vợt cầu lông Sao Vang Active Plus Xanh navy thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",TRUE,2026-05-31
128,Áo chạy bộ Mizuno Carbon Speed Đen,Ao,Mizuno,"1,180,000",136,https://images.unsplash.com/photo-1560769629-975ec94e6a86?q=80&w=1200&auto=format&fit=crop,"Áo chạy bộ Mizuno Carbon Speed Đen thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
129,Bóng đá Adidas Street Pro Xám,Bong,Adidas,"820,000",109,https://images.unsplash.com/photo-1542291026-7eec264c27ff?q=80&w=1200&auto=format&fit=crop,"Bóng đá Adidas Street Pro Xám thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
130,Bóng rổ Mizuno Prime Edge Xanh royal,Bong,Mizuno,"1,300,000",120,https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?q=80&w=1200&auto=format&fit=crop,"Bóng rổ Mizuno Prime Edge Xanh royal thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
131,Áo bóng đá Yonex Storm Fit Xám,Ao,Yonex,"920,000",41,https://images.unsplash.com/photo-1556906781-9a412961c28c?q=80&w=1200&auto=format&fit=crop,"Áo bóng đá Yonex Storm Fit Xám thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
132,Bóng chuyền Sao Vang Ultra Light Xanh royal,Bong,Sao Vang,"1,320,000",120,https://images.unsplash.com/photo-1523398002811-999ca8dec234?q=80&w=1200&auto=format&fit=crop,"Bóng chuyền Sao Vang Ultra Light Xanh royal thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
133,Băng cổ tay STRIDEX Velocity X Trắng,Phu kien,STRIDEX,"300,000",62,https://images.unsplash.com/photo-1546519638-68e109498ffc?q=80&w=1200&auto=format&fit=crop,"Băng cổ tay STRIDEX Velocity X Trắng thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
134,Quần short thể thao Adidas Energy Wave Xanh navy,Quan,Adidas,"1,180,000",128,https://images.unsplash.com/photo-1579952363873-27f3bade9f55?q=80&w=1200&auto=format&fit=crop,"Quần short thể thao Adidas Energy Wave Xanh navy thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",TRUE,2026-05-31
135,Bóng pickleball Mizuno Energy Wave Bạc,Bong,Mizuno,"1,220,000",92,https://images.unsplash.com/photo-1599058917212-d750089bc07e?q=80&w=1200&auto=format&fit=crop,"Bóng pickleball Mizuno Energy Wave Bạc thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
136,Áo khoác thể thao Nike Prime Edge Cam,Ao,Nike,"180,000",33,https://images.unsplash.com/photo-1560769629-975ec94e6a86?q=80&w=1200&auto=format&fit=crop,"Áo khoác thể thao Nike Prime Edge Cam thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
137,Bóng đá Puma Power Max Đỏ hồng,Bong,Puma,"820,000",45,https://images.unsplash.com/photo-1542291026-7eec264c27ff?q=80&w=1200&auto=format&fit=crop,"Bóng đá Puma Power Max Đỏ hồng thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",TRUE,2026-05-31
138,Vợt pickleball Nike Prime Edge Xám,Vot,Nike,"500,000",107,https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?q=80&w=1200&auto=format&fit=crop,"Vợt pickleball Nike Prime Edge Xám thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
139,Giày bóng đá New Balance Carbon Speed Đỏ,Giay,New Balance,"1,350,000",136,https://images.unsplash.com/photo-1556906781-9a412961c28c?q=80&w=1200&auto=format&fit=crop,"Giày bóng đá New Balance Carbon Speed Đỏ thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",TRUE,2026-05-31
140,Giày bóng rổ Joma Active Plus Đen,Giay,Joma,"3,150,000",92,https://images.unsplash.com/photo-1523398002811-999ca8dec234?q=80&w=1200&auto=format&fit=crop,"Giày bóng rổ Joma Active Plus Đen thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
141,Bóng rổ Lining Prime Edge Đỏ hồng,Bong,Lining,"240,000",21,https://images.unsplash.com/photo-1546519638-68e109498ffc?q=80&w=1200&auto=format&fit=crop,"Bóng rổ Lining Prime Edge Đỏ hồng thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
142,Bóng futsal Joma Aero Boost Xanh navy,Bong,Joma,"520,000",39,https://images.unsplash.com/photo-1579952363873-27f3bade9f55?q=80&w=1200&auto=format&fit=crop,"Bóng futsal Joma Aero Boost Xanh navy thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
143,Quần tập gym Nike Flex Run Đỏ,Quan,Nike,"260,000",98,https://images.unsplash.com/photo-1599058917212-d750089bc07e?q=80&w=1200&auto=format&fit=crop,"Quần tập gym Nike Flex Run Đỏ thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
144,Áo chạy bộ Nike Storm Fit Đỏ,Ao,Nike,"880,000",97,https://images.unsplash.com/photo-1560769629-975ec94e6a86?q=80&w=1200&auto=format&fit=crop,"Áo chạy bộ Nike Storm Fit Đỏ thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
145,Quần short thể thao Adidas Energy Wave Bạc,Quan,Adidas,"900,000",136,https://images.unsplash.com/photo-1542291026-7eec264c27ff?q=80&w=1200&auto=format&fit=crop,"Quần short thể thao Adidas Energy Wave Bạc thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
146,Bóng rổ Sao Vang Active Plus Cam,Bong,Sao Vang,"800,000",122,https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?q=80&w=1200&auto=format&fit=crop,"Bóng rổ Sao Vang Active Plus Cam thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
147,Quần tập gym Nike Energy Wave Cam,Quan,Nike,"460,000",162,https://images.unsplash.com/photo-1556906781-9a412961c28c?q=80&w=1200&auto=format&fit=crop,"Quần tập gym Nike Energy Wave Cam thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",TRUE,2026-05-31
148,Balo thể thao STRIDEX Rapid Force Xanh royal,Phu kien,STRIDEX,"340,000",73,https://images.unsplash.com/photo-1523398002811-999ca8dec234?q=80&w=1200&auto=format&fit=crop,"Balo thể thao STRIDEX Rapid Force Xanh royal thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
149,Quần short thể thao Yonex Street Pro Đen,Quan,Yonex,"1,280,000",80,https://images.unsplash.com/photo-1546519638-68e109498ffc?q=80&w=1200&auto=format&fit=crop,"Quần short thể thao Yonex Street Pro Đen thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
150,Vợt tennis Sao Vang Street Pro Đỏ,Vot,Sao Vang,"1,950,000",113,https://images.unsplash.com/photo-1579952363873-27f3bade9f55?q=80&w=1200&auto=format&fit=crop,"Vợt tennis Sao Vang Street Pro Đỏ thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
151,Bóng chuyền Joma Storm Fit Trắng,Bong,Joma,"680,000",37,https://images.unsplash.com/photo-1599058917212-d750089bc07e?q=80&w=1200&auto=format&fit=crop,"Bóng chuyền Joma Storm Fit Trắng thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
152,Áo khoác thể thao Puma Street Pro Đỏ,Ao,Puma,"440,000",69,https://images.unsplash.com/photo-1560769629-975ec94e6a86?q=80&w=1200&auto=format&fit=crop,"Áo khoác thể thao Puma Street Pro Đỏ thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
153,Áo khoác thể thao Nike Rapid Force Xám,Ao,Nike,"1,120,000",70,https://images.unsplash.com/photo-1542291026-7eec264c27ff?q=80&w=1200&auto=format&fit=crop,"Áo khoác thể thao Nike Rapid Force Xám thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
154,Tất thể thao Asics Flex Run Đen,Phu kien,Asics,"440,000",55,https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?q=80&w=1200&auto=format&fit=crop,"Tất thể thao Asics Flex Run Đen thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
155,Giày chạy bộ Asics Aero Boost Xám,Giay,Asics,"1,500,000",45,https://images.unsplash.com/photo-1556906781-9a412961c28c?q=80&w=1200&auto=format&fit=crop,"Giày chạy bộ Asics Aero Boost Xám thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
156,Áo thun thể thao New Balance Air Pro Xanh royal,Ao,New Balance,"1,060,000",6,https://images.unsplash.com/photo-1523398002811-999ca8dec234?q=80&w=1200&auto=format&fit=crop,"Áo thun thể thao New Balance Air Pro Xanh royal thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",TRUE,2026-05-31
157,Áo gym Sao Vang Elite Move Bạc,Ao,Sao Vang,"700,000",25,https://images.unsplash.com/photo-1546519638-68e109498ffc?q=80&w=1200&auto=format&fit=crop,"Áo gym Sao Vang Elite Move Bạc thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
158,Tất thể thao Sao Vang Carbon Speed Đỏ hồng,Phu kien,Sao Vang,"630,000",76,https://images.unsplash.com/photo-1579952363873-27f3bade9f55?q=80&w=1200&auto=format&fit=crop,"Tất thể thao Sao Vang Carbon Speed Đỏ hồng thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
159,Giày chạy bộ Nike Prime Edge Cam,Giay,Nike,"3,400,000",180,https://images.unsplash.com/photo-1599058917212-d750089bc07e?q=80&w=1200&auto=format&fit=crop,"Giày chạy bộ Nike Prime Edge Cam thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
160,Vợt cầu lông New Balance Elite Move Đen,Vot,New Balance,"1,250,000",143,https://images.unsplash.com/photo-1560769629-975ec94e6a86?q=80&w=1200&auto=format&fit=crop,"Vợt cầu lông New Balance Elite Move Đen thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
